DepotID,ShipToID,Latitude,Longitude,NumDeliveries,NumPlannedDeliveryDates,PeriodStart,PeriodEnd,TotalNetWeightKg,AvgDailyDemand,WeightInUOM,AssignedDepotID
2522,70022076,14.62015666,121.0545761,6,2,2023-05-16,2023-05-23,46.124,23.062,Kg,25P1
2522,70022079,14.62037472,121.0508515,4,2,2023-05-16,2023-05-23,11.756,5.878,Kg,25P1
2522,70022083,14.42268788,121.0302313,4,1,2023-05-23,2023-05-23,6.932,6.932,Kg,2522
2522,70022088,14.551207,121.0268341,7,2,2023-05-16,2023-05-23,54.696,27.348,Kg,2513
2522,70022089,14.56282596,121.0249119,8,2,2023-05-16,2023-05-23,77.744,38.872,Kg,2513
2522,70022090,14.58214225,121.054663,8,2,2023-05-16,2023-05-23,42.934,21.467,Kg,2513
2522,70022091,14.65281093,121.0744706,6,2,2023-05-16,2023-05-23,13.722,6.861,Kg,25P1
2522,70022094,14.53652187,121.0188521,2,1,2023-05-23,2023-05-23,6.220000000000001,6.22,Kg,2513
2522,70022095,14.55321025,121.0193998,4,1,2023-05-23,2023-05-23,13.528,13.528,Kg,2513
2522,70022100,14.60006959,121.0694355,2,1,2023-05-23,2023-05-23,6.246,6.246,Kg,2513
2522,70022101,14.46231608,121.0248671,8,2,2023-05-16,2023-05-23,69.078,34.539,Kg,2513
2522,70022102,14.63596971,121.0352087,3,1,2023-05-23,2023-05-23,9.8,9.8,Kg,25P1
2522,70022103,14.58121291,121.1757787,8,2,2023-05-16,2023-05-23,44.922,22.461,Kg,2513
